date,ticker,price
2015-01-02,AAPL,24.24
2015-01-02,AMZN,15.43
2015-01-02,GOOGL,26.28
2015-01-02,JNJ,76.96
2015-01-02,JPM,46.51
2015-01-02,META,77.91
2015-01-02,MSFT,39.86
2015-01-02,NVDA,0.48
2015-01-02,PG,66.52
2015-01-02,XOM,57.92
2015-01-05,AAPL,23.55
2015-01-05,AMZN,15.11
2015-01-05,GOOGL,25.78
2015-01-05,JNJ,76.42
2015-01-05,JPM,45.07
2015-01-05,META,76.65
2015-01-05,MSFT,39.49
2015-01-05,NVDA,0.47
2015-01-05,PG,66.2
2015-01-05,XOM,56.33
2015-01-06,AAPL,23.56
2015-01-06,AMZN,14.76
2015-01-06,GOOGL,25.14
2015-01-06,JNJ,76.04
2015-01-06,JPM,43.9
2015-01-06,META,75.62
2015-01-06,MSFT,38.91
2015-01-06,NVDA,0.46
2015-01-06,PG,65.9
2015-01-06,XOM,56.03
2015-01-07,AAPL,23.89
2015-01-07,AMZN,14.92
2015-01-07,GOOGL,25.07
2015-01-07,JNJ,77.72
2015-01-07,JPM,43.97
2015-01-07,META,75.62
2015-01-07,MSFT,39.41
2015-01-07,NVDA,0.46
2015-01-07,PG,66.25
2015-01-07,XOM,56.6
2015-01-08,AAPL,24.81
2015-01-08,AMZN,15.02
2015-01-08,GOOGL,25.16
2015-01-08,JNJ,78.33
2015-01-08,JPM,44.95
2015-01-08,META,77.64
2015-01-08,MSFT,40.57
2015-01-08,NVDA,0.48
2015-01-08,PG,67.0
2015-01-08,XOM,57.54
2015-01-09,AAPL,24.83
2015-01-09,AMZN,14.85
2015-01-09,GOOGL,24.85
2015-01-09,JNJ,77.26
2015-01-09,JPM,44.17
2015-01-09,META,77.2
2015-01-09,MSFT,40.22
2015-01-09,NVDA,0.48
2015-01-09,PG,66.38
2015-01-09,XOM,57.46
2015-01-12,AAPL,24.22
2015-01-12,AMZN,14.57
2015-01-12,GOOGL,24.67
2015-01-12,JNJ,77.0
2015-01-12,JPM,43.79
2015-01-12,META,76.19
2015-01-12,MSFT,39.72
2015-01-12,NVDA,0.47
2015-01-12,PG,66.14
2015-01-12,XOM,56.36
2015-01-13,AAPL,24.43
2015-01-13,AMZN,14.74
2015-01-13,GOOGL,24.9
2015-01-13,JNJ,77.13
